code,event,participants
CHN,Weightlifting Women's Flyweight,3

CHN,"Wrestling Men's Super-Heavyweight, Freestyle",5

CHN,Sailing Mixed Multihull,2

CHN,Swimming Women's 400 metres Individual Medley,15

CHN,Swimming Women's 200 metres Individual Medley,16

CHN,Swimming Women's 100 metres Backstroke,16

CHN,Athletics Men's 110 metres Hurdles,18

CHN,Weightlifting Women's Lightweight,3

CHN,Gymnastics Men's Individual All-Around,46

CHN,Gymnastics Men's Team All-Around,53

CHN,Gymnastics Men's Floor Exercise,47

CHN,Gymnastics Men's Parallel Bars,47

CHN,Gymnastics Men's Horizontal Bar,47

CHN,Gymnastics Men's Rings,44

CHN,Gymnastics Men's Pommelled Horse,45

CHN,Swimming Men's 200 metres Butterfly,9

CHN,Badminton Women's Doubles,36

CHN,Athletics Men's 400 metres,3

CHN,"Wrestling Men's Bantamweight, Freestyle",2

CHN,"Shooting Men's Rapid-Fire Pistol, 25 metres",14

CHN,Athletics Women's 10 kilometres Walk,6

CHN,Cross Country Skiing Women's 5 kilometres,10

CHN,Cross Country Skiing Women's 10 kilometres,16

CHN,Cross Country Skiing Women's 4 x 5 kilometres Relay,8

CHN,Athletics Women's 200 metres,7

CHN,Athletics Women's 4 x 100 metres Relay,20

CHN,"Wrestling Men's Light-Flyweight, Freestyle",3

CHN,Taekwondo Women's Heavyweight,4

CHN,"Canoeing Men's Canadian Doubles, 1,000 metres",8

CHN,Swimming Men's 4 x 200 metres Freestyle Relay,14

CHN,Cycling Men's Team Sprint,6

CHN,Swimming Men's 100 metres Backstroke,14

CHN,Swimming Women's 100 metres Freestyle,17

CHN,Freestyle Skiing Women's Aerials,22

CHN,Athletics Men's 400 metres Hurdles,4

CHN,"Short Track Speed Skating Women's 1,500 metres",11

CHN,"Short Track Speed Skating Women's 3,000 metres Relay",28

CHN,Beach Volleyball Women's Beach Volleyball,16

CHN,"Canoeing Men's Kayak Doubles, 1,000 metres",10

CHN,Rowing Women's Coxless Pairs,10

CHN,Handball Men's Handball,15

CHN,Weightlifting Men's Heavyweight II,1

CHN,"Fencing Men's epee, Individual",16

CHN,"Fencing Men's epee, Team",15

CHN,"Swimming Men's 1,500 metres Freestyle",9

CHN,Archery Men's Team,21

CHN,Badminton Women's Singles,19

CHN,Sailing Men's Two Person Dinghy,8

CHN,Swimming Men's 200 metres Backstroke,10

CHN,"Canoeing Men's Kayak Singles, Slalom",3

CHN,Weightlifting Women's Super-Heavyweight,4

CHN,Table Tennis Women's Team,9

CHN,Boxing Women's Lightweight,2

CHN,Trampolining Men's Individual,7

CHN,Alpine Skiing Women's Giant Slalom,8

CHN,Alpine Skiing Women's Slalom,8

CHN,"Canoeing Women's Kayak Fours, 500 metres",24

CHN,Athletics Women's Heptathlon,4

CHN,"Athletics Men's 1,500 metres",3

CHN,Athletics Women's 100 metres Hurdles,9

CHN,Shooting Men's Trap,7

CHN,Rowing Women's Single Sculls,5

CHN,Athletics Men's 800 metres,2

CHN,"Fencing Women's Foil, Team",26

CHN,Gymnastics Men's Horse Vault,35

CHN,Short Track Speed Skating Women's 500 metres,19

CHN,"Short Track Speed Skating Women's 1,000 metres",16

CHN,"Cycling Men's Team Pursuit, 4,000 metres",4

CHN,Swimming Women's 10 kilometres Open Water,2

CHN,Rowing Men's Coxed Fours,5

CHN,Rowing Men's Coxed Eights,19

CHN,"Canoeing Men's Canadian Singles, Slalom",3

CHN,"Speed Skating Men's 1,500 metres",16

CHN,Golf Women's Individual,2

CHN,Cycling Men's Keirin,2

CHN,Athletics Men's Pole Vault,9

CHN,"Speed Skating Women's 3,000 metres",15

CHN,Diving Women's Springboard,18

CHN,Diving Women's Synchronized Springboard,10

CHN,Water Polo Women's Water Polo,39

CHN,"Canoeing Women's Kayak Singles, 500 metres",4

CHN,Shooting Mixed Trap,4

CHN,Shooting Women's Double Trap,6

CHN,Judo Men's Half-Lightweight,6

CHN,Judo Women's Extra-Lightweight,6

CHN,Athletics Women's 100 metres,15

CHN,"Cycling Women's Mountainbike, Cross-Country",7

CHN,"Canoeing Men's Kayak Doubles, 500 metres",10

CHN,Cycling Women's Individual Time Trial,2

CHN,Athletics Women's Pole Vault,9

CHN,"Speed Skating Men's 5,000 metres",4

CHN,Athletics Women's High Jump,7

CHN,"Shooting Men's Running Target, 10 metres",8

CHN,Cross Country Skiing Women's 15 kilometres,6

CHN,Cross Country Skiing Women's 30 kilometres,10

CHN,Cross Country Skiing Women's 5/10 kilometres Pursuit,4

CHN,Cycling Women's Team Sprint,4

CHN,Cycling Women's Sprint,8

CHN,Cycling Women's Keirin,3

CHN,Sailing Men's One Person Heavyweight Dinghy,2

CHN,Synchronized Swimming Women's Duet,14

CHN,Rowing Men's Coxless Fours,12

CHN,Boxing Men's Bantamweight,5

CHN,Athletics Women's Hammer Throw,10

CHN,Athletics Women's Long Jump,11

CHN,Synchronized Swimming Women's Solo,6

CHN,"Canoeing Men's Canadian Doubles, 500 metres",6

CHN,Athletics Men's Discus Throw,6

CHN,Judo Men's Half-Middleweight,3

CHN,Cycling Men's 100 kilometres Team Time Trial,12

CHN,"Shooting Women's Air Pistol, 10 metres",16

CHN,Figure Skating Men's Singles,12

CHN,Cross Country Skiing Men's 15 kilometres,13

CHN,Cross Country Skiing Men's 30 kilometres,6

CHN,Cross Country Skiing Men's 50 kilometres,8

CHN,Cross Country Skiing Men's 10/10 kilometres Pursuit,1

CHN,Cross Country Skiing Men's 30 km Skiathlon,5

CHN,Biathlon Men's 10 kilometres Sprint,14

CHN,Freestyle Skiing Men's Aerials,16

CHN,Swimming Women's 50 metres Freestyle,12

CHN,Boxing Men's Welterweight,4

CHN,"Fencing Women's epee, Team",15

CHN,Swimming Men's 400 metres Freestyle,8

CHN,Judo Women's Half-Lightweight,7

CHN,Taekwondo Women's Welterweight,2

CHN,Trampolining Women's Individual,7

CHN,Weightlifting Men's Bantamweight,14

CHN,Weightlifting Men's Flyweight,8

CHN,"Wrestling Men's Lightweight, Freestyle",3

