code,event,participants
DEN,Swimming Men's 200 metres Freestyle,8

DEN,Swimming Men's 400 metres Freestyle,18

DEN,"Swimming Men's 1,500 metres Freestyle",8

DEN,Swimming Men's 200 metres Individual Medley,5

DEN,Art Competitions Mixed Architecture,5

DEN,"Tennis Mixed Doubles, Covered Courts",2

DEN,"Tennis Women's Singles, Covered Courts",1

DEN,"Equestrianism Mixed Dressage, Individual",43

DEN,"Equestrianism Mixed Dressage, Team",38

DEN,Boxing Men's Bantamweight,5

DEN,"Canoeing Men's Kayak Doubles, 10,000 metres",6

DEN,Shooting Men's Trap,3

DEN,"Shooting Men's Small-Bore Rifle, Prone, 50 metres",29

DEN,Swimming Men's 200 metres Breaststroke,9

DEN,"Athletics Men's 1,500 metres",14

DEN,"Canoeing Men's Canadian Singles, 1,000 metres",4

DEN,Athletics Men's 200 metres,3

DEN,Athletics Men's 400 metres,6

DEN,"Wrestling Men's Light-Heavyweight, Greco-Roman",9

DEN,"Wrestling Men's Middleweight B, Greco-Roman",3

DEN,"Cycling Men's 1,000 metres Time Trial",13

