code,games,participants
BLR,1996 Summer,10

BLR,2010 Winter,1

BLR,2016 Summer,5

BLR,2000 Summer,3

BLR,2014 Winter,1

GRE,2000 Summer,7

GRE,2008 Summer,4

GRE,2012 Summer,2

GRE,2016 Summer,1

GRE,2004 Summer,1

GRE,1906 Summer,2

TUR,2000 Summer,1

TUR,1992 Summer,1

TUR,2016 Summer,1

MEX,2012 Summer,3

MEX,2008 Summer,2

MEX,1968 Summer,1

MEX,2004 Summer,1

URS,1968 Winter,4

URS,1980 Summer,39

URS,1976 Summer,23

URS,1964 Summer,15

URS,1980 Winter,3

URS,1988 Summer,45

URS,1956 Summer,11

URS,1960 Summer,7

URS,1976 Winter,4

URS,1968 Summer,16

URS,1952 Summer,7

URS,1972 Summer,6

URS,1964 Winter,4

URS,1984 Winter,6

URS,1956 Winter,1

URS,1960 Winter,2

URS,1988 Winter,2

URS,1972 Winter,1

HUN,1976 Summer,21

HUN,1960 Summer,2

HUN,1972 Summer,8

HUN,1952 Summer,13

HUN,1932 Summer,1

HUN,2012 Summer,2

HUN,1936 Summer,8

HUN,1992 Summer,2

HUN,1964 Summer,1

HUN,1996 Summer,19

HUN,1948 Summer,2

HUN,2000 Summer,1

HUN,1988 Summer,5

HUN,2016 Summer,2

HUN,1968 Summer,3

HUN,1980 Summer,7

HUN,2008 Summer,1

HUN,1952 Winter,1

HUN,1956 Winter,1

HUN,1932 Winter,1

HUN,1936 Winter,1

HUN,1956 Summer,1

NGR,1992 Summer,4

NGR,2008 Summer,6

NGR,1996 Summer,2

ALG,2008 Summer,1

BRN,2012 Summer,1

MAS,2012 Summer,1

GER,2008 Summer,27

GER,1998 Winter,6

GER,1996 Summer,17

GER,2012 Summer,4

GER,2004 Summer,32

GER,1992 Summer,27

GER,2000 Summer,35

GER,2002 Winter,6

GER,2014 Winter,7

GER,2016 Summer,23

GER,1960 Summer,12

GER,1952 Winter,2

GER,1994 Winter,4

GER,2006 Winter,3

GER,1992 Winter,5

GER,1932 Summer,1

GER,2010 Winter,8

GER,1960 Winter,1

GER,1928 Summer,7

GER,1936 Summer,5

GER,1956 Summer,3

GER,1952 Summer,2

GER,1964 Summer,4

CAN,1984 Summer,11

CAN,2012 Summer,27

CAN,2000 Summer,20

CAN,1976 Summer,14

CAN,2006 Winter,10

CAN,2016 Summer,53

CAN,1992 Winter,2

CAN,1996 Summer,7

CAN,1998 Winter,5

CAN,1994 Winter,1

CAN,1936 Summer,5

CAN,2004 Summer,3

CAN,1964 Winter,1

CAN,2008 Summer,4

CAN,1992 Summer,2

CAN,2002 Winter,13

CAN,1968 Summer,4

CAN,1932 Summer,1

CAN,1988 Summer,10

CAN,1948 Summer,4

CAN,2010 Winter,3

CAN,1972 Summer,1

CAN,2014 Winter,1

CAN,1956 Summer,1

CAN,1948 Winter,1

CAN,1988 Winter,3

CAN,1928 Summer,1

CAN,1956 Winter,1

IRL,1948 Summer,1

IRL,1996 Summer,1

AUS,2000 Summer,21

AUS,2008 Summer,41

AUS,1964 Summer,3

AUS,1960 Summer,1

AUS,2012 Summer,32

AUS,1996 Summer,41

AUS,2004 Summer,12

AUS,1984 Summer,8

AUS,2006 Winter,1

AUS,1992 Summer,7

AUS,1948 Summer,3

AUS,1980 Summer,1

AUS,2016 Summer,5

AUS,1972 Summer,2

AUS,2014 Winter,1

AUS,1968 Summer,2

AUS,1956 Summer,4

AUS,1988 Summer,3

AUS,1998 Winter,1

AUS,1952 Summer,1

RSA,1956 Summer,4

RSA,1928 Summer,4

RSA,1932 Summer,2

RSA,2012 Summer,1

RSA,2000 Summer,1

RSA,1996 Summer,1

TUN,2016 Summer,2

BEL,2000 Summer,4

BEL,2016 Summer,1

BEL,1984 Summer,2

BEL,2004 Summer,1

BEL,1996 Summer,1

BEL,1992 Summer,1

BEL,2012 Summer,2

KAZ,2016 Summer,6

KAZ,2008 Summer,2

KAZ,2012 Summer,2

KAZ,1998 Winter,1

IND,2012 Summer,2

IND,2016 Summer,1

IND,2000 Summer,1

ETH,2012 Summer,2

ETH,2016 Summer,3

ETH,2008 Summer,1

ETH,2004 Summer,2

ETH,1996 Summer,1

ETH,2000 Summer,1

INA,2000 Summer,2

INA,1996 Summer,1

INA,2008 Summer,1

SGP,2012 Summer,4

UZB,2008 Summer,1

TJK,2012 Summer,1

EUN,1992 Winter,13

EUN,1992 Summer,34

JPN,1964 Summer,6

JPN,2012 Summer,23

JPN,1996 Summer,11

JPN,1984 Summer,15

JPN,2016 Summer,20

JPN,2004 Summer,17

JPN,2008 Summer,6

JPN,1992 Winter,1

JPN,1988 Summer,3

JPN,2000 Summer,8

JPN,1998 Winter,1

JPN,1992 Summer,5

JPN,2014 Winter,1

JPN,2002 Winter,1

JPN,1960 Summer,1

JPN,1994 Winter,1

SUI,2002 Winter,6

SUI,2014 Winter,20

SUI,1968 Winter,1

SUI,1998 Winter,1

SUI,2016 Summer,2

SUI,1968 Summer,1

SUI,1980 Winter,2

