code,games,participants
EST,2008 Summer,3
EST,2016 Summer,4
EST,1928 Summer,9
EST,2004 Summer,3
EST,2012 Summer,2
EST,1924 Summer,6
EST,1920 Summer,3
EST,1936 Summer,7
EST,2002 Winter,3
EST,1992 Summer,3
EST,2006 Winter,3
EST,2010 Winter,1
FRA,1956 Summer,33
FRA,2008 Summer,77
FRA,2012 Summer,82
FRA,2016 Summer,96
FRA,2004 Summer,53
FRA,1948 Summer,72
FRA,1992 Summer,57
FRA,1996 Summer,51
FRA,1900 Summer,235
FRA,1920 Summer,141
FRA,1984 Summer,67
FRA,1988 Summer,29
FRA,1908 Summer,40
FRA,1936 Winter,1
FRA,1992 Winter,12
FRA,2002 Winter,15
FRA,1928 Summer,50
FRA,1924 Winter,10
FRA,2000 Summer,66
FRA,1998 Winter,15
FRA,1952 Summer,40
FRA,2010 Winter,14
FRA,1964 Summer,31
FRA,1924 Summer,110
FRA,1932 Summer,40
FRA,2006 Winter,15
FRA,1994 Winter,11
FRA,1968 Summer,27
FRA,1906 Summer,64
FRA,1980 Summer,29
FRA,2014 Winter,18
FRA,1972 Summer,22
FRA,1976 Summer,20
FRA,1936 Summer,44
FRA,1964 Winter,7
FRA,1912 Summer,26
FRA,1984 Winter,3
FRA,1960 Winter,3
FRA,1928 Winter,2
FRA,1932 Winter,2
FRA,1896 Summer,11
FRA,1904 Summer,2
FRA,1948 Winter,5
FRA,1972 Winter,3
FRA,1976 Winter,1
FRA,1952 Winter,1
FRA,1960 Summer,12
FRA,1968 Winter,9
FRA,1980 Winter,1
FRA,1988 Winter,2
MAR,1988 Summer,3
MAR,1992 Summer,3
MAR,1984 Summer,2
MAR,1960 Summer,1
MAR,2004 Summer,3
MAR,2008 Summer,2
MAR,2000 Summer,5
MAR,1996 Summer,2
MAR,2012 Summer,1
MAR,2016 Summer,1
ESP,2008 Summer,70
ESP,1996 Summer,66
ESP,1980 Summer,24
ESP,1984 Summer,19
ESP,1992 Summer,69
ESP,2016 Summer,45
ESP,1920 Summer,23
ESP,2012 Summer,63
ESP,2000 Summer,42
ESP,1928 Summer,3
ESP,1960 Summer,14
ESP,1932 Summer,1
ESP,2004 Summer,30
ESP,1988 Summer,5
ESP,1900 Summer,2
ESP,1976 Summer,6
ESP,1992 Winter,1
ESP,1972 Winter,1
ESP,1948 Summer,3
ESP,1952 Summer,1
ESP,1972 Summer,1
EGY,2012 Summer,2
EGY,2004 Summer,5
EGY,1936 Summer,5
EGY,1948 Summer,5
EGY,2016 Summer,3
EGY,2008 Summer,1
EGY,1928 Summer,4
EGY,1952 Summer,1
EGY,1984 Summer,1
IRI,2016 Summer,8
IRI,1972 Summer,3
IRI,2012 Summer,12
IRI,1976 Summer,2
IRI,2000 Summer,4
IRI,1960 Summer,4
IRI,1952 Summer,7
IRI,1956 Summer,5
IRI,1964 Summer,2
IRI,2004 Summer,6
IRI,1996 Summer,3
IRI,1968 Summer,5
IRI,1992 Summer,3
IRI,2008 Summer,2
IRI,1988 Summer,1
IRI,1948 Summer,1
BUL,1980 Summer,90
BUL,1964 Summer,10
BUL,1972 Summer,22
BUL,1976 Summer,39
BUL,1988 Summer,41
BUL,2000 Summer,13
BUL,1960 Summer,7
BUL,1992 Summer,17
BUL,1996 Summer,21
BUL,1956 Summer,18
BUL,2004 Summer,17
BUL,1998 Winter,1
BUL,2016 Summer,7
BUL,1968 Summer,26
BUL,2008 Summer,5
BUL,1980 Winter,1
BUL,1952 Summer,1
BUL,2002 Winter,3
BUL,2012 Summer,2
BUL,2006 Winter,1
ITA,2016 Summer,72
ITA,1936 Summer,76
ITA,1988 Summer,29
ITA,1996 Summer,71
ITA,2000 Summer,65
ITA,1984 Summer,63
ITA,1992 Summer,45
ITA,2004 Summer,104
ITA,2008 Summer,42
ITA,1928 Summer,72
ITA,1932 Summer,77
ITA,1948 Summer,67
ITA,2012 Summer,68
ITA,1968 Summer,33
ITA,1992 Winter,21
ITA,1994 Winter,32
ITA,1998 Winter,17
ITA,1976 Summer,31
ITA,1920 Summer,84
ITA,1912 Summer,25
ITA,1956 Winter,8
ITA,1924 Summer,51
ITA,1960 Summer,88
ITA,1964 Summer,51
ITA,2006 Winter,25
ITA,1956 Summer,47
ITA,2002 Winter,21
ITA,1952 Summer,54
ITA,1972 Summer,25
ITA,1968 Winter,8
ITA,1964 Winter,10
ITA,1906 Summer,56
ITA,1908 Summer,8
ITA,1948 Winter,1
ITA,1980 Summer,37
ITA,1972 Winter,9
ITA,1980 Winter,3
ITA,1900 Summer,5
ITA,1952 Winter,2
ITA,1960 Winter,1
ITA,1988 Winter,8
ITA,2010 Winter,5
ITA,2014 Winter,14
ITA,1976 Winter,4
ITA,1984 Winter,2
AZE,2016 Summer,18
AZE,1996 Summer,1
AZE,2000 Summer,3
AZE,2004 Summer,5
AZE,2008 Summer,7
AZE,2012 Summer,10
SUD,2008 Summer,1
RUS,2008 Summer,142
RUS,2004 Summer,189
RUS,2012 Summer,140
RUS,2016 Summer,115
RUS,2006 Winter,41
RUS,2002 Winter,38
RUS,1998 Winter,52
RUS,2000 Summer,187
RUS,1996 Summer,115
RUS,2014 Winter,68
RUS,1994 Winter,36
RUS,1912 Summer,14
RUS,2010 Winter,25
RUS,1908 Summer,3
ARG,2008 Summer,51
ARG,2000 Summer,20
ARG,2004 Summer,49
ARG,1996 Summer,20
ARG,1936 Summer,11
ARG,1928 Summer,26
ARG,2012 Summer,19
ARG,1932 Summer,4
ARG,2016 Summer,22
ARG,1924 Summer,10
ARG,1948 Summer,11
ARG,1960 Summer,4
ARG,1952 Summer,6
ARG,1988 Summer,13
ARG,1968 Summer,2
ARG,1972 Summer,1
ARG,1992 Summer,2
ARG,1964 Summer,1
ARG,1956 Summer,2
CUB,2008 Summer,47
CUB,2000 Summer,65
CUB,1980 Summer,20
CUB,1992 Summer,69
CUB,1996 Summer,55
CUB,1976 Summer,24
CUB,1972 Summer,22
CUB,2012 Summer,14
CUB,2016 Summer,11
CUB,2004 Summer,62
CUB,1968 Summer,10
CUB,1948 Summer,2
CUB,1904 Summer,5
CUB,1964 Summer,1
CUB,1900 Summer,2
BLR,2008 Summer,29
BLR,2000 Summer,22
BLR,2004 Summer,15
BLR,1998 Winter,2
BLR,2012 Summer,23
BLR,1996 Summer,23
BLR,2006 Winter,1
BLR,2010 Winter,3
BLR,2014 Winter,6
BLR,2016 Summer,12
BLR,2002 Winter,1
BLR,1994 Winter,2
GRE,1906 Summer,102
GRE,2000 Summer,18
GRE,1896 Summer,48
GRE,2004 Summer,31
GRE,1996 Summer,8
GRE,2008 Summer,7
GRE,1980 Summer,5
GRE,1992 Summer,2
GRE,1924 Summer,1
GRE,1908 Summer,4
GRE,1960 Summer,3
GRE,1968 Summer,1
GRE,1972 Summer,2
GRE,1904 Summer,2
GRE,2016 Summer,7
GRE,2012 Summer,3
GRE,1984 Summer,2
GRE,1988 Summer,1
GRE,1920 Summer,5
GRE,1956 Summer,1
GRE,1912 Summer,2
