code,games,participants
FRA,1992 Winter,4

FRA,2002 Winter,2

FRA,1928 Summer,24

FRA,1908 Summer,5

FRA,1964 Summer,10

FRA,1924 Summer,50

FRA,1992 Summer,4

FRA,1906 Summer,16

FRA,1948 Summer,22

FRA,1956 Summer,13

FRA,2008 Summer,22

FRA,2000 Summer,25

FRA,1988 Summer,3

FRA,1952 Summer,8

FRA,1984 Summer,16

FRA,1936 Summer,13

FRA,1980 Summer,5

FRA,1996 Summer,7

FRA,1912 Summer,11

FRA,2014 Winter,3

FRA,1932 Summer,8

FRA,1896 Summer,4

FRA,1964 Winter,2

FRA,1972 Summer,5

FRA,2006 Winter,2

FRA,1904 Summer,2

FRA,1948 Winter,1

FRA,2004 Summer,4

FRA,1960 Summer,6

FRA,1998 Winter,1

FRA,2010 Winter,1

FRA,1968 Summer,4

FRA,1976 Summer,2

FRA,1968 Winter,1

MAR,1960 Summer,1

MAR,2000 Summer,1

MAR,1992 Summer,1

MAR,2008 Summer,1

ESP,1920 Summer,23

ESP,2000 Summer,19

ESP,2008 Summer,35

ESP,1996 Summer,20

ESP,1980 Summer,19

ESP,1984 Summer,14

ESP,1992 Summer,15

ESP,2004 Summer,11

ESP,2012 Summer,16

ESP,1988 Summer,2

ESP,1976 Summer,6

ESP,1948 Summer,3

ESP,1952 Summer,1

ESP,2016 Summer,1

EGY,2012 Summer,2

EGY,2004 Summer,1

EGY,1948 Summer,2

EGY,1984 Summer,1

EGY,1928 Summer,1

EGY,1936 Summer,1

IRI,1972 Summer,2

IRI,2012 Summer,5

IRI,1976 Summer,1

IRI,2016 Summer,1

IRI,1952 Summer,3

IRI,1996 Summer,1

IRI,1968 Summer,1

IRI,1956 Summer,2

IRI,1988 Summer,1

IRI,1992 Summer,1

IRI,2004 Summer,2

IRI,1960 Summer,1

BUL,1964 Summer,5

BUL,1980 Summer,25

BUL,1972 Summer,8

BUL,1988 Summer,6

BUL,2000 Summer,5

BUL,1960 Summer,3

BUL,1992 Summer,4

BUL,1968 Summer,21

BUL,1956 Summer,3

BUL,1996 Summer,5

BUL,1976 Summer,6

BUL,2004 Summer,1

ITA,1992 Summer,9

ITA,2008 Summer,11

ITA,1932 Summer,38

ITA,1948 Summer,30

ITA,2012 Summer,21

ITA,1992 Winter,8

ITA,1998 Winter,7

ITA,1976 Summer,23

ITA,1956 Winter,6

ITA,1964 Summer,28

ITA,1920 Summer,9

ITA,1928 Summer,10

ITA,1988 Summer,5

ITA,2002 Winter,9

ITA,2016 Summer,20

ITA,1972 Summer,2

ITA,1960 Summer,18

ITA,1936 Summer,34

ITA,2004 Summer,31

ITA,1952 Summer,22

ITA,1956 Summer,11

ITA,1996 Summer,17

ITA,1908 Summer,6

ITA,1924 Summer,5

ITA,2000 Summer,12

ITA,1964 Winter,2

ITA,1980 Summer,19

ITA,1972 Winter,5

ITA,1906 Summer,8

