code,games,participants
BLR,2012 Summer,8

BLR,2008 Summer,2

BLR,2016 Summer,2

BLR,1994 Winter,1

BLR,1996 Summer,1

GRE,2004 Summer,16

GRE,1996 Summer,1

GRE,2000 Summer,3

GRE,1906 Summer,2

TUR,2008 Summer,3

TUR,2012 Summer,2

CHI,1956 Summer,1

MEX,2012 Summer,3

MEX,2016 Summer,2

MEX,2004 Summer,2

MEX,1968 Summer,1

URS,1964 Summer,21

URS,1976 Summer,36

URS,1980 Summer,37

URS,1960 Summer,7

URS,1952 Summer,17

URS,1988 Summer,10

URS,1956 Summer,6

URS,1984 Winter,3

URS,1980 Winter,5

URS,1960 Winter,6

URS,1968 Summer,6

URS,1988 Winter,5

URS,1956 Winter,4

URS,1972 Summer,6

URS,1972 Winter,3

URS,1968 Winter,3

URS,1964 Winter,4

URS,1976 Winter,2

HUN,1964 Summer,2

HUN,1948 Summer,8

HUN,2000 Summer,22

HUN,1952 Summer,11

HUN,1956 Summer,8

HUN,2004 Summer,5

HUN,1960 Summer,5

HUN,1968 Summer,7

HUN,2008 Summer,4

HUN,2012 Summer,2

HUN,1988 Summer,5

HUN,1972 Summer,7

HUN,2016 Summer,1

HUN,1948 Winter,1

HUN,1992 Summer,3

HUN,1980 Summer,1

HUN,1976 Summer,2

HUN,1980 Winter,1

NGR,1996 Summer,4

NGR,2000 Summer,2

BRN,2016 Summer,1

MAS,2016 Summer,3

GER,1992 Summer,39

GER,2006 Winter,15

GER,2004 Summer,13

GER,2012 Summer,17

GER,2016 Summer,16

GER,1994 Winter,8

GER,2010 Winter,9

GER,1992 Winter,7

GER,1960 Summer,10

GER,2000 Summer,6

GER,1964 Summer,5

GER,1932 Summer,1

GER,1952 Winter,2

GER,2008 Summer,4

GER,1998 Winter,8

GER,2002 Winter,9

GER,1912 Summer,5

GER,1996 Summer,18

GER,1964 Winter,2

GER,1936 Summer,9

GER,1936 Winter,1

GER,1960 Winter,2

GER,2014 Winter,3

GER,1952 Summer,5

GER,1956 Summer,7

GER,1908 Summer,1

CAN,1996 Summer,22

CAN,1984 Summer,22

CAN,1994 Winter,6

CAN,1998 Winter,21

CAN,2010 Winter,14

CAN,2002 Winter,1

CAN,2000 Summer,3

CAN,2012 Summer,10

CAN,1972 Summer,1

CAN,2004 Summer,3

CAN,2008 Summer,4

CAN,1956 Winter,1

CAN,2014 Winter,12

CAN,1932 Summer,5

CAN,1976 Summer,1

CAN,1968 Winter,1

CAN,2006 Winter,14

CAN,2016 Summer,3

CAN,1972 Winter,1

CAN,1988 Winter,1

CAN,1976 Winter,1

CAN,1928 Summer,1

CAN,1968 Summer,2

CAN,1992 Summer,2

CAN,1964 Winter,1

IRL,2016 Summer,1

IRL,2000 Summer,1

AUS,2004 Summer,32

AUS,1960 Summer,13

AUS,2016 Summer,14

AUS,2012 Summer,24

AUS,2008 Summer,22

AUS,1964 Summer,6

AUS,1968 Summer,7

AUS,2000 Summer,32

AUS,1972 Summer,3

AUS,2014 Winter,1

AUS,1956 Summer,2

AUS,1996 Summer,10

AUS,1948 Summer,5

AUS,1984 Summer,2

AUS,1992 Summer,3

