code,games,participants
ROU,1980 Summer,119

ROU,1956 Winter,12

ROU,1992 Summer,137

ROU,1956 Summer,47

ROU,1960 Summer,49

ROU,1964 Summer,64

ROU,1972 Summer,64

ROU,2014 Winter,15

ROU,1988 Winter,17

ROU,1992 Winter,28

ROU,1994 Winter,24

ROU,2010 Winter,28

ROU,1998 Winter,9

ROU,1936 Summer,2

ROU,2006 Winter,26

ROU,1984 Winter,5

ROU,1968 Winter,1

ROU,2002 Winter,21

ROU,1928 Summer,2

ROU,1980 Winter,2

ROU,1936 Winter,1

EST,2004 Summer,12

EST,2008 Summer,17

EST,2012 Summer,11

EST,2016 Summer,21

EST,2014 Winter,20

EST,2006 Winter,24

EST,2010 Winter,27

EST,1992 Summer,6

EST,2000 Summer,3

EST,1996 Summer,12

EST,1998 Winter,13

EST,1992 Winter,14

EST,1994 Winter,29

EST,1936 Winter,2

EST,2002 Winter,10

FRA,2012 Summer,183

FRA,2016 Summer,217

FRA,1998 Winter,54

FRA,1924 Summer,50

FRA,1992 Summer,165

FRA,1996 Summer,170

FRA,1952 Winter,11

FRA,1956 Winter,13

FRA,1968 Summer,82

FRA,2002 Winter,49

FRA,2006 Winter,69

FRA,2000 Summer,174

FRA,1984 Summer,76

FRA,2008 Summer,182

FRA,1972 Summer,74

FRA,2004 Summer,175

FRA,1976 Summer,53

FRA,2010 Winter,71

FRA,2014 Winter,74

FRA,1980 Summer,32

FRA,1948 Summer,50

FRA,1952 Summer,90

FRA,1980 Winter,10

FRA,1984 Winter,13

FRA,1988 Summer,122

FRA,1964 Summer,40

FRA,1968 Winter,26

FRA,1992 Winter,61

FRA,1994 Winter,63

FRA,1928 Summer,54

FRA,1948 Winter,16

FRA,1936 Summer,13

FRA,1964 Winter,17

FRA,1988 Winter,27

FRA,1976 Winter,13

FRA,1960 Summer,72

FRA,1912 Summer,2

FRA,1920 Summer,15

FRA,1900 Summer,16

FRA,1924 Winter,3

FRA,1928 Winter,3

FRA,1932 Winter,1

FRA,1972 Winter,13

FRA,1956 Summer,36

FRA,1932 Summer,11

FRA,1906 Summer,2

FRA,1960 Winter,18

MAR,2008 Summer,12

MAR,2000 Summer,9

MAR,2004 Summer,9

MAR,2012 Summer,19

MAR,2016 Summer,21

MAR,1988 Summer,4

MAR,1992 Summer,1

MAR,1972 Summer,3

MAR,1984 Summer,1

MAR,1996 Summer,6

MAR,1992 Winter,5

MAR,2014 Winter,2

ESP,2008 Summer,146

ESP,2004 Summer,184

ESP,2000 Summer,148

ESP,1988 Winter,11

ESP,1996 Summer,148

ESP,1992 Summer,177

ESP,2012 Summer,136

ESP,2016 Summer,172

ESP,1988 Summer,65

ESP,1924 Summer,6

ESP,1994 Winter,10

ESP,1998 Winter,6

ESP,1984 Summer,49

ESP,1980 Summer,24

ESP,1960 Summer,41

ESP,2006 Winter,16

ESP,1964 Summer,5

ESP,1992 Winter,9

ESP,1976 Summer,26

ESP,2010 Winter,15

ESP,2014 Winter,11

ESP,1972 Summer,9

ESP,1968 Summer,3

ESP,1980 Winter,4

ESP,1984 Winter,4

ESP,2002 Winter,6

ESP,1936 Winter,2

ESP,1960 Winter,3

ESP,1972 Winter,3

EGY,2008 Summer,34

EGY,2012 Summer,45

EGY,2016 Summer,46

EGY,2000 Summer,18

EGY,2004 Summer,16

EGY,1992 Summer,6

EGY,1996 Summer,4

EGY,1984 Summer,11

EGY,1988 Summer,1

IRI,2014 Winter,2

IRI,2012 Summer,11

IRI,2008 Summer,3

IRI,2016 Summer,11

IRI,1976 Summer,7

IRI,1964 Summer,10

IRI,1996 Summer,1

IRI,2004 Summer,1

IRI,2010 Winter,2

IRI,2000 Summer,1

BUL,1994 Winter,17

BUL,1964 Summer,15

BUL,1980 Summer,136

BUL,1992 Winter,17

BUL,1976 Summer,88

BUL,1972 Summer,59

BUL,1988 Summer,122

BUL,1992 Summer,90

BUL,2004 Summer,52

BUL,1996 Summer,53

BUL,1952 Summer,58

BUL,2000 Summer,47

BUL,1968 Summer,38

BUL,2012 Summer,36

BUL,2008 Summer,35

BUL,2016 Summer,25

BUL,1984 Winter,1

BUL,1998 Winter,20

BUL,2002 Winter,28

BUL,2006 Winter,25

BUL,1956 Winter,1

BUL,1960 Winter,3

BUL,1964 Winter,10

BUL,1968 Winter,11

BUL,1956 Summer,15

BUL,1960 Summer,40

BUL,1988 Winter,2

BUL,2010 Winter,15

BUL,2014 Winter,10

ITA,2012 Summer,170

ITA,2008 Summer,183

ITA,2014 Winter,96

ITA,2016 Summer,186

ITA,2000 Summer,160

ITA,1972 Summer,71

ITA,1996 Summer,136

ITA,2004 Summer,170

ITA,2006 Winter,117

ITA,1928 Summer,21

ITA,1956 Winter,21

ITA,1984 Winter,29

ITA,1988 Winter,30

ITA,1988 Summer,72

ITA,1992 Summer,107

ITA,1980 Winter,16

ITA,1964 Winter,15

ITA,1948 Summer,25

ITA,1936 Summer,20

ITA,2002 Winter,90

ITA,1980 Summer,57

ITA,1994 Winter,61

ITA,1998 Winter,59

ITA,1948 Winter,8

ITA,1976 Summer,68

ITA,1952 Summer,77

ITA,1992 Winter,60

ITA,1984 Summer,76

ITA,1960 Summer,79

ITA,1964 Summer,18

ITA,1976 Winter,17

ITA,1956 Summer,57

ITA,1968 Summer,33

ITA,2010 Winter,80

ITA,1924 Summer,7

ITA,1936 Winter,5

ITA,1952 Winter,10

ITA,1960 Winter,14

ITA,1968 Winter,16

ITA,1972 Winter,3

ITA,1920 Summer,2

ITA,1900 Summer,1

CHA,2016 Summer,1

CHA,1992 Summer,2

CHA,1996 Summer,1

CHA,2000 Summer,2

CHA,2004 Summer,1

CHA,2008 Summer,1

CHA,2012 Summer,2

AZE,2016 Summer,16

AZE,2000 Summer,7

AZE,2012 Summer,16

AZE,2010 Winter,2

AZE,1996 Summer,4

AZE,2004 Summer,7

AZE,2008 Summer,14

AZE,2002 Winter,1

AZE,2006 Winter,1

AZE,1998 Winter,2

AZE,2014 Winter,1

SUD,2012 Summer,2

SUD,2004 Summer,1

SUD,2008 Summer,4

SUD,2016 Summer,2

SUD,2000 Summer,1

RUS,2008 Summer,285

RUS,2012 Summer,283

RUS,2004 Summer,265

RUS,2006 Winter,111

RUS,2010 Winter,126

RUS,2016 Summer,203

RUS,2000 Summer,269

RUS,1996 Summer,233

RUS,1998 Winter,75

RUS,2002 Winter,102

RUS,2014 Winter,152

RUS,1994 Winter,84

RUS,1924 Summer,1

ARG,2012 Summer,45

ARG,2016 Summer,82

ARG,2000 Summer,52

ARG,1996 Summer,69

ARG,2004 Summer,55

ARG,2008 Summer,56

ARG,1992 Winter,16

ARG,1984 Winter,9

ARG,1988 Summer,32

ARG,1984 Summer,17

ARG,1956 Summer,1

ARG,2014 Winter,9

ARG,1976 Summer,18

ARG,1988 Winter,19

ARG,1972 Summer,10

ARG,1952 Summer,18

ARG,1994 Winter,13

ARG,1998 Winter,5

ARG,1948 Summer,20

ARG,1936 Summer,1

ARG,1992 Summer,29

ARG,1968 Summer,9

ARG,1952 Winter,3

ARG,2006 Winter,9

ARG,1964 Summer,11

ARG,2010 Winter,12

ARG,1960 Summer,1

ARG,2002 Winter,11

ARG,1968 Winter,6

ARG,1960 Winter,3

ARG,1964 Winter,2

CUB,2012 Summer,48

CUB,1972 Summer,35

CUB,1992 Summer,57

CUB,2000 Summer,92

CUB,1996 Summer,60

CUB,2016 Summer,43

CUB,1968 Summer,50

CUB,1976 Summer,30

CUB,1980 Summer,36

CUB,2008 Summer,61

CUB,2004 Summer,61

CUB,1964 Summer,3

CUB,1956 Summer,1

CUB,1960 Summer,11

BLR,2016 Summer,77

BLR,2004 Summer,87

BLR,1996 Summer,114

BLR,2000 Summer,103

BLR,2002 Winter,47

BLR,2006 Winter,42

BLR,1998 Winter,39

BLR,2008 Summer,96

BLR,2012 Summer,86

BLR,1994 Winter,31

BLR,2010 Winter,42

BLR,2014 Winter,30

GRE,2004 Summer,246

GRE,2012 Summer,45

GRE,2000 Summer,73

GRE,1988 Summer,19

GRE,2016 Summer,37

GRE,1998 Winter,3

GRE,2008 Summer,79

GRE,1972 Summer,6

GRE,1992 Summer,16

GRE,1996 Summer,79

GRE,2002 Winter,6

GRE,2010 Winter,5

GRE,1980 Summer,5

GRE,1984 Summer,6

GRE,2006 Winter,3

GRE,1976 Summer,2

GRE,1936 Summer,2

GRE,1948 Summer,1

GRE,1988 Winter,3

GRE,1992 Winter,3

GRE,1994 Winter,2

GRE,1906 Summer,9

GRE,2014 Winter,3

GRE,1924 Summer,2

CMR,2016 Summer,17

CMR,1996 Summer,6

CMR,1988 Summer,4

CMR,2008 Summer,7

CMR,2012 Summer,22

CMR,2004 Summer,9

CMR,1980 Summer,4

CMR,1984 Summer,6

CMR,2000 Summer,11

CMR,1992 Summer,8

TUR,2004 Summer,27

TUR,2008 Summer,21

TUR,2016 Summer,54

TUR,2014 Winter,6

TUR,2000 Summer,20

TUR,1984 Summer,3

TUR,1988 Summer,8

TUR,1996 Summer,13

TUR,2012 Summer,67

TUR,1936 Summer,2

TUR,2002 Winter,2

