code,games,participants
FRA,2004 Summer,22
FRA,1908 Summer,23
FRA,2006 Winter,10
FRA,1994 Winter,10
FRA,2012 Summer,22
FRA,1968 Summer,10
FRA,2000 Summer,14
FRA,2016 Summer,21
FRA,1980 Summer,6
FRA,2014 Winter,10
FRA,1906 Summer,28
FRA,1948 Summer,24
FRA,1972 Summer,15
FRA,1988 Summer,13
FRA,1976 Summer,8
FRA,1924 Summer,22
FRA,1964 Summer,17
FRA,1984 Winter,2
FRA,1960 Winter,2
FRA,2010 Winter,6
FRA,1912 Summer,5
FRA,1932 Summer,6
FRA,1936 Summer,18
FRA,1956 Summer,13
FRA,1948 Winter,2
FRA,1976 Winter,1
FRA,2002 Winter,5
FRA,1952 Winter,1
FRA,1960 Summer,6
FRA,1968 Winter,2
FRA,1896 Summer,2
FRA,1992 Winter,1
FRA,1980 Winter,1
FRA,1972 Winter,2
FRA,1988 Winter,1
MAR,1988 Summer,2
MAR,1992 Summer,1
MAR,2008 Summer,1
MAR,2000 Summer,4
MAR,1996 Summer,2
MAR,2012 Summer,1
MAR,2016 Summer,1
ESP,2008 Summer,16
ESP,1984 Summer,3
ESP,2016 Summer,17
ESP,2012 Summer,25
ESP,1960 Summer,14
ESP,1932 Summer,1
ESP,2000 Summer,20
ESP,2004 Summer,9
ESP,1996 Summer,22
ESP,1992 Winter,1
ESP,1992 Summer,2
ESP,1988 Summer,2
ESP,1980 Summer,3
ESP,1972 Summer,1
EGY,2004 Summer,3
EGY,1936 Summer,2
EGY,2016 Summer,3
EGY,2008 Summer,1
EGY,1948 Summer,1
EGY,1952 Summer,1
EGY,1928 Summer,1
IRI,2016 Summer,4
IRI,1960 Summer,3
IRI,2012 Summer,3
IRI,1964 Summer,2
IRI,2004 Summer,2
IRI,1952 Summer,4
IRI,1972 Summer,1
IRI,1992 Summer,2
IRI,1996 Summer,1
IRI,2008 Summer,1
IRI,1956 Summer,1
IRI,1976 Summer,1
IRI,2000 Summer,1
IRI,1948 Summer,1
IRI,1968 Summer,2
BUL,1980 Summer,38
BUL,1972 Summer,6
BUL,1976 Summer,18
BUL,1956 Summer,14
BUL,1988 Summer,17
BUL,2004 Summer,14
BUL,1992 Summer,7
BUL,1996 Summer,6
BUL,1968 Summer,3
BUL,2016 Summer,6
BUL,1960 Summer,3
BUL,1980 Winter,1
BUL,1964 Summer,2
BUL,1952 Summer,1
BUL,2002 Winter,2
BUL,2012 Summer,1
BUL,2008 Summer,3
BUL,2000 Summer,2
ITA,2016 Summer,24
ITA,1936 Summer,5
ITA,2004 Summer,39
ITA,1932 Summer,18
ITA,1968 Summer,20
ITA,1994 Winter,12
ITA,1912 Summer,2
ITA,1920 Summer,8
ITA,1924 Summer,21
ITA,1996 Summer,28
ITA,1952 Summer,15
ITA,1964 Winter,8
ITA,1960 Summer,34
ITA,1976 Summer,4
ITA,1928 Summer,26
ITA,2012 Summer,30
ITA,1972 Summer,13
ITA,1988 Summer,8
ITA,1992 Summer,14
ITA,1984 Summer,28
ITA,1992 Winter,8
ITA,1998 Winter,5
ITA,2002 Winter,6
ITA,1964 Summer,9
ITA,1906 Summer,27
ITA,1948 Summer,14
ITA,1956 Summer,10
ITA,2000 Summer,29
ITA,1980 Summer,8
ITA,2006 Winter,14
ITA,2008 Summer,20
ITA,1952 Winter,1
ITA,1960 Winter,1
ITA,2010 Winter,3
ITA,2014 Winter,12
ITA,1988 Winter,5
ITA,1976 Winter,1
ITA,1972 Winter,1
AZE,2016 Summer,10
AZE,2004 Summer,4
AZE,2012 Summer,6
AZE,2008 Summer,4
AZE,2000 Summer,1
RUS,2012 Summer,51
RUS,2016 Summer,35
RUS,2004 Summer,95
RUS,2006 Winter,13
RUS,2008 Summer,53
RUS,2002 Winter,27
RUS,2000 Summer,54
RUS,1996 Summer,34
RUS,2014 Winter,13
RUS,1912 Summer,9
RUS,2010 Winter,14
RUS,1998 Winter,6
RUS,1994 Winter,4
ARG,2004 Summer,21
ARG,2008 Summer,31
ARG,2000 Summer,3
ARG,1928 Summer,5
ARG,2012 Summer,3
ARG,1988 Summer,12
ARG,1996 Summer,1
ARG,1948 Summer,1
ARG,1936 Summer,4
ARG,1968 Summer,2
ARG,1992 Summer,2
ARG,1952 Summer,2
ARG,1960 Summer,1
ARG,1924 Summer,2
ARG,1956 Summer,1
CUB,2008 Summer,11
CUB,1980 Summer,5
CUB,1992 Summer,14
CUB,1972 Summer,18
CUB,2012 Summer,6
CUB,2016 Summer,4
CUB,2004 Summer,22
CUB,1996 Summer,10
CUB,2000 Summer,12
CUB,1976 Summer,14
BLR,2000 Summer,11
BLR,1998 Winter,2
BLR,2012 Summer,8
BLR,2008 Summer,16
BLR,2004 Summer,8
BLR,1996 Summer,16
BLR,2010 Winter,1
BLR,2016 Summer,7
BLR,2002 Winter,1
BLR,2014 Winter,1
GRE,1906 Summer,30
GRE,2000 Summer,8
GRE,2008 Summer,4
GRE,1980 Summer,4
GRE,1896 Summer,20
GRE,2004 Summer,5
GRE,1968 Summer,1
GRE,1904 Summer,1
GRE,2012 Summer,3
GRE,2016 Summer,3
GRE,1984 Summer,1
GRE,1988 Summer,1
GRE,1908 Summer,1
GRE,1956 Summer,1
GRE,1912 Summer,1
CMR,1984 Summer,1
TUR,1956 Summer,2
TUR,2004 Summer,5
TUR,1952 Summer,1
TUR,2008 Summer,3
TUR,1984 Summer,3
TUR,2000 Summer,2
TUR,2016 Summer,4
TUR,1964 Summer,1
TUR,1948 Summer,2
TUR,2012 Summer,1
TUR,1992 Summer,2
TUR,1936 Summer,1
TUR,1996 Summer,1
CHI,2000 Summer,17
CHI,1956 Summer,2
CHI,2004 Summer,1
MEX,2012 Summer,3
MEX,1980 Summer,9
MEX,2000 Summer,3
MEX,1936 Summer,16
MEX,1960 Summer,1
MEX,1948 Summer,4
MEX,1956 Summer,1
MEX,1900 Summer,3
MEX,2008 Summer,2
MEX,1964 Summer,1
MEX,1988 Summer,2
MEX,2016 Summer,2
MEX,1976 Summer,1
MEX,1968 Summer,3
MEX,2004 Summer,1
MEX,1996 Summer,1
MEX,1984 Summer,1
URS,1972 Summer,60
URS,1980 Summer,126
URS,1968 Winter,5
URS,1956 Summer,55
URS,1964 Summer,51
URS,1960 Summer,45
URS,1976 Summer,77
URS,1960 Winter,28
URS,1984 Winter,12
URS,1980 Winter,7
URS,1952 Summer,19
URS,1968 Summer,64
URS,1988 Summer,99
URS,1976 Winter,11
URS,1988 Winter,12
URS,1956 Winter,6
URS,1964 Winter,9
URS,1972 Winter,3
HUN,1936 Summer,15
HUN,1988 Summer,15
HUN,1960 Summer,37
HUN,1976 Summer,35
HUN,1924 Summer,8
HUN,1968 Summer,29
HUN,1972 Summer,25
HUN,1952 Summer,32
HUN,1932 Summer,8
HUN,1948 Summer,22
HUN,2000 Summer,4
HUN,1992 Summer,8
HUN,2016 Summer,7
HUN,1908 Summer,6
HUN,1980 Summer,40
HUN,2004 Summer,4
HUN,2012 Summer,6
HUN,1964 Summer,7
HUN,1996 Summer,26
HUN,1956 Summer,14
HUN,1900 Summer,2
HUN,1906 Summer,3
HUN,1896 Summer,3
HUN,1904 Summer,1
HUN,2008 Summer,3
HUN,1912 Summer,3
HUN,1952 Winter,2
HUN,1956 Winter,2
HUN,1932 Winter,2
HUN,1936 Winter,2
NGR,2016 Summer,18
NGR,2004 Summer,8
NGR,2008 Summer,7
NGR,1996 Summer,3
NGR,1984 Summer,4
NGR,1992 Summer,4
NGR,1972 Summer,1
NGR,1964 Summer,1
ALG,2000 Summer,3
ALG,1996 Summer,1
ALG,2008 Summer,1
ALG,1984 Summer,2
ALG,1992 Summer,1
KUW,2000 Summer,1
KUW,2012 Summer,1
BRN,2012 Summer,1
PAK,1992 Summer,16
PAK,1976 Summer,16
PAK,1960 Summer,1
PAK,1988 Summer,1
IRQ,1960 Summer,1
UAR,1960 Summer,1
LIB,1980 Summer,1
LIB,1952 Summer,1
QAT,2012 Summer,2
QAT,2000 Summer,1
QAT,1992 Summer,1
MAS,2016 Summer,1
MAS,2012 Summer,1
MAS,1996 Summer,1
MAS,1992 Summer,2
GER,1936 Summer,61
GER,2004 Summer,63
GER,2016 Summer,67
GER,2000 Summer,64
GER,2012 Summer,22
GER,2008 Summer,41
GER,1900 Summer,11
GER,2002 Winter,12
GER,2006 Winter,6
GER,1998 Winter,10
GER,1996 Summer,47
GER,1906 Summer,6
GER,1992 Summer,60
GER,1932 Winter,14
GER,1964 Winter,3
GER,1964 Summer,50
GER,1912 Summer,23
GER,1994 Winter,12
GER,1928 Summer,41
GER,2014 Winter,9
