code,games,participants
FRA,1928 Winter,2
FRA,1932 Winter,2
FRA,2014 Winter,4
FRA,1936 Summer,13
FRA,1998 Winter,2
FRA,1992 Summer,9
FRA,1906 Summer,20
FRA,1976 Summer,5
FRA,1896 Summer,5
FRA,1968 Winter,4
FRA,2010 Winter,2
FRA,1964 Summer,1
FRA,1972 Summer,2
FRA,1948 Winter,2
FRA,1988 Winter,1
FRA,1960 Winter,1
MAR,1984 Summer,2
MAR,1988 Summer,1
MAR,2004 Summer,2
MAR,1992 Summer,1
ESP,1996 Summer,23
ESP,1980 Summer,2
ESP,1992 Summer,48
ESP,2012 Summer,5
ESP,1928 Summer,3
ESP,2016 Summer,9
ESP,2004 Summer,4
ESP,2008 Summer,7
ESP,1900 Summer,2
ESP,2000 Summer,3
ESP,1988 Summer,1
ESP,1984 Summer,2
ESP,1972 Winter,1
EGY,1936 Summer,2
EGY,1948 Summer,2
EGY,2004 Summer,1
EGY,1928 Summer,2
IRI,2000 Summer,3
IRI,1956 Summer,2
IRI,1996 Summer,1
IRI,2016 Summer,3
IRI,1968 Summer,2
IRI,2012 Summer,4
IRI,2004 Summer,2
IRI,2008 Summer,1
BUL,1980 Summer,8
BUL,1972 Summer,6
BUL,2000 Summer,5
BUL,1988 Summer,10
BUL,1996 Summer,3
BUL,1992 Summer,3
BUL,1998 Winter,1
BUL,1960 Summer,1
BUL,2004 Summer,2
BUL,2008 Summer,1
BUL,1964 Summer,3
BUL,1976 Summer,8
BUL,1968 Summer,2
BUL,1956 Summer,1
ITA,1988 Summer,11
ITA,1996 Summer,19
ITA,2000 Summer,22
ITA,1984 Summer,29
ITA,1928 Summer,24
ITA,1994 Winter,14
ITA,1920 Summer,67
ITA,2004 Summer,24
ITA,1960 Summer,36
ITA,2006 Winter,11
ITA,1964 Summer,14
ITA,1956 Summer,26
ITA,1924 Summer,25
ITA,1948 Summer,21
ITA,1968 Winter,8
ITA,2012 Summer,16
ITA,1992 Summer,21
ITA,2016 Summer,8
ITA,1936 Summer,37
ITA,1968 Summer,5
ITA,1912 Summer,22
ITA,1952 Summer,17
ITA,1932 Summer,21
ITA,1906 Summer,21
ITA,1992 Winter,4
ITA,2002 Winter,4
ITA,1948 Winter,1
ITA,1908 Summer,2
ITA,1900 Summer,3
ITA,2008 Summer,8
ITA,1952 Winter,1
ITA,1998 Winter,3
ITA,1956 Winter,2
ITA,1976 Summer,2
ITA,1980 Summer,8
ITA,1972 Summer,9
ITA,1976 Winter,1
ITA,1972 Winter,3
ITA,1984 Winter,2
ITA,2010 Winter,1
ITA,1988 Winter,2
AZE,2000 Summer,2
AZE,2016 Summer,1
AZE,2008 Summer,1
AZE,2004 Summer,1
AZE,2012 Summer,2
RUS,2006 Winter,16
RUS,2016 Summer,52
RUS,2008 Summer,43
RUS,2000 Summer,66
RUS,2004 Summer,48
RUS,2014 Winter,33
RUS,2012 Summer,50
RUS,1994 Winter,19
RUS,1996 Summer,36
RUS,2002 Winter,6
RUS,2010 Winter,6
RUS,1998 Winter,14
RUS,1908 Summer,1
ARG,2008 Summer,20
ARG,1936 Summer,5
ARG,1928 Summer,3
ARG,2004 Summer,28
ARG,2016 Summer,21
ARG,1948 Summer,3
ARG,1952 Summer,2
ARG,2012 Summer,1
ARG,1924 Summer,5
ARG,1932 Summer,3
CUB,2000 Summer,18
CUB,1992 Summer,42
CUB,1996 Summer,37
CUB,1980 Summer,8
CUB,2004 Summer,32
CUB,2016 Summer,5
CUB,1972 Summer,3
CUB,1904 Summer,5
CUB,1900 Summer,1
CUB,1976 Summer,6
CUB,2012 Summer,5
CUB,2008 Summer,2
BLR,2008 Summer,8
BLR,2012 Summer,3
BLR,2014 Winter,5
BLR,2016 Summer,1
BLR,2010 Winter,1
BLR,1996 Summer,1
BLR,2000 Summer,3
BLR,2004 Summer,2
GRE,1906 Summer,24
GRE,1896 Summer,10
GRE,2004 Summer,8
GRE,1992 Summer,2
GRE,1996 Summer,4
GRE,2000 Summer,4
GRE,1924 Summer,1
GRE,1960 Summer,3
GRE,1904 Summer,1
GRE,2016 Summer,3
GRE,1980 Summer,1
GRE,1912 Summer,1
CMR,2000 Summer,18
CMR,2004 Summer,1
CMR,2008 Summer,1
TUR,1948 Summer,6
TUR,2016 Summer,1
TUR,1968 Summer,2
TUR,1960 Summer,7
TUR,1964 Summer,2
TUR,1956 Summer,3
TUR,2012 Summer,2
TUR,1996 Summer,4
TUR,1936 Summer,1
TUR,1952 Summer,2
TUR,2000 Summer,3
TUR,2004 Summer,3
TUR,1992 Summer,2
TUR,2008 Summer,1
TUR,1988 Summer,1
CHI,2004 Summer,3
MEX,2012 Summer,16
MEX,1976 Summer,1
MEX,1984 Summer,2
MEX,1956 Summer,1
MEX,1968 Summer,3
MEX,2008 Summer,2
MEX,2000 Summer,1
MEX,1948 Summer,4
URS,1972 Summer,107
URS,1980 Summer,187
URS,1976 Winter,38
URS,1964 Winter,30
URS,1968 Winter,26
URS,1976 Summer,114
URS,1980 Winter,18
URS,1956 Winter,26
URS,1968 Summer,65
URS,1988 Summer,134
URS,1964 Summer,60
URS,1956 Summer,68
URS,1960 Summer,61
URS,1952 Summer,36
URS,1988 Winter,40
URS,1972 Winter,36
URS,1984 Winter,29
URS,1960 Winter,7
HUN,1988 Summer,20
HUN,1964 Summer,42
HUN,1952 Summer,53
HUN,1980 Summer,8
HUN,1960 Summer,13
HUN,1968 Summer,32
HUN,1972 Summer,10
HUN,1932 Summer,20
HUN,1900 Summer,1
HUN,2000 Summer,25
HUN,2004 Summer,24
HUN,2008 Summer,16
HUN,1936 Summer,25
HUN,1948 Summer,15
HUN,2012 Summer,12
HUN,1912 Summer,10
HUN,1956 Summer,30
